Video#,Comments,Language,General evaluation,Aspect(s) of evaluation,Quotes,Notes
2,"Tica
 2 years ago
 I/m Aussie and I just gotta say, I love this video, you portrayed the accent, the idols and the attitude of this country so well! Analysing their nature and showing their backstories. Even the little things like giving context behind (and honouring) Channel 7 and ""shrimp on the barbie"" (although we don't call them shrimp, it was an American ad) Mad honour to you for reals!",1,off-topics, ,,
2,"Lhiv Sierra
 2 years ago
 Rose: ""speaks english in elegant way""
 Meanwhile:
 
 Felix and Chan: GoOd daY MaTe:D",1,a,SA (social attractiveness),"Rose: ""speaks english in elegant way""",
2,"Ayesha Ishaq
 2 years ago
 Felix and his deep ass voice blending with Rosie's honey vocals..",1,a(Positive),PF (prosodic features),Rosie's honey vocals..,
2,"Ivesrabbit
 2 years ago
 They both speak Aussie accent and they both can have deep voice and high voices",1,b(Neutral),PF,,
2,"Restu Aditya Gunawan
 2 years ago
 Jennie is different to, she said when she speaking korea thet voice is cute, when she is speaking in english that voice is elegant bold, and when she singing i think that voice is different to.",1,a,PF,,
2,"Romy Des Bois
 2 years ago (edited)
 I think i found my favorite english accent...aussie accent. I like the lay back style. I could listen to them talking for hours!",1,a,G (genernal),,
2,"Richter44
 2 years ago
 Us aussies love shortening every word we can haha. Also, I'm sure many aussies would agree, but we don't say ""shrimp"", it's prawn! XD",1,off-topic,MT(metalinguistic comment),,
2,"유키
 2 years ago (edited)
 imagine kpop's aussie line on stage together speaking english with their australian accent. i don't think i'll survive",1,b,G,,Neutral?
2,"Wanna One Forever
 2 years ago
 ROSE barely has her accent now 😂",1,b,,,
2,"rimi 512
 2 years ago
 i am a simple person , i see felix and i click ! btw, i can hear felix's deep voice thick aussie accent all day ! <3",1,a,PF,,
2,"lytous
 2 years ago
 you should do a bang chan version too! he can switch too english and korean very easily and he has a thick australian accent too. and he also trained for 7 years",1,off-topic,,,
2,"roovoire
 2 years ago
 Felix's accent is sooooOoooooOOOOOOO THICK!",1,b,G,,Is thick positive?
2,"elix’s Sausage
 2 years ago
 I still can’t over how soft and baby Felix’s high register singing voice is 😭 but then you hear him rap..... wtF",1,a,PF,,
2,"Berliana Ramadhania
 2 years ago
 Felix deep voice and his heavy accent is the best thing in the world",1,a,G,,
2,"Nhisal Rai
 2 years ago
 Rosè accent is life",1,a,G,,
2,"Remas Alawam
 2 years ago
 Yesss Rosé YSL fashion show in the beginning is so cuteee!!",1,off-topic,G,,
2,"Remas Alawam
 2 years ago
 I love Rosé’s voice and accent , she sounds so charming and elegant at the same time😍♥️😍",1,a,SA,,
2,"ndreww
 2 years ago
 i really love rose voice so much. her voice is so unique and Felix voice is so deep with powerful voice...☺️....",1,a,G,,
2,"liz zy
 2 years ago
 rosé soft accent. felix hard rough accent",1,a,G,,
2,"rosénim
 2 years ago
 Hopin' the three of them will be on a same show then speaking with Aussie accent. I love thattt. Lmao",1,a,G,,
2,"Genesis Bourbon
 2 years ago
 ROSÉ 🌹 is another level, she is the most complete member of blackpink, she is the best voice of the group, she is the best dancer in group CHOREOGRAPHIES, she plays various musical instruments, speaks perfect native English, in addition to Japanese and Korean, she is super beautiful, she is the one who has the best relationship with all her colleagues, is the one who loves her fans the most, in a few words ROSÉ is the perfect singer, she stands out in all aspects, also her voice is listed as one of the 20 best in all history of kpop, something impressive since there are thousands of singers in the genre.
 5
 영크릿l Young Cret
 Reply",1,a,NA (nativeness),,
2,"TheKawaiiDango
 2 years ago
 Rosé speaking Korean: more cute, adorable, bubbly, docile
 
 Rosé speaking English: more relaxed, confident, like leader-type, and very charismatic
 
 This just my opinion though :x",1,a,SA,,
2,"2NE1 4EVA
 2 years ago
 Rosé is more elegant when she speaks English and she’s more soft when she’s speaks Korean",1,a,G,,
2,"Haku Namatata
 2 years ago
 Felix Australian accent with his deep ass voice.... please just kill me because I am going to die. I am in love with felix's deep voice😘😘❤❤❤",1,a,G,,
2,"Ryudzichan
 2 years ago
 I really like Felix's voice",1,a,G,,
2,"Mikaira Park
 2 years ago
 Aussie Rosie.",1,b,NA (nativeness),,
2,"Mei Maisyaroh
 2 years ago (edited)
 Wish you do christopher (bang chan) version to, he was grow up in autralia, and he has a thick aussie accent, his family move there when chan 1 years old",1,off-topic,,,
2,"felix navidad
 2 years ago
 I never knew Aussie accent is that sexc until Felix came speaking it thicc with this deep voice",1,a,G,,
2,"Saslika
 2 years ago
 why do I think rose sounds like bacsound action movie sound? 😍🥰😭👍💖✨",1,off-topic,,,
2,"VaneszakeyTV
 2 years ago
 Rosé in ausie is so damn sexy!",1,a,G,,
2,"pr izr
 2 years ago
 ROSÉ aussie accent is not joke 🙃
 So so good 👍",1,a,NA,,
2,"Nur Annissa
 2 years ago
 ROSÉ SO SMART WHEN SHE SPEAKING 😱😱😱😱🔥🔥🔥",1,off-topic,,,
2,"Yewon Choi
 2 years ago
 I love felix and Chan’s accent their so satisfying to hear",1,a,G,,
2,"Nezzy Naha
 2 years ago
 Even native Australia got shock hearing Felix’s thick Aussie accent",1,a,NA,,
2,"BITAR
 2 years ago
 Both of them have special voice ❤",1,off-topic,,,
2,"Hodaya Siri
 2 years ago
 I can listen to Felix and Bang chan speak English all day with their cute accent and it will just make me so so happy!",1,a,G,,
2,"Therese Erika Pilar
 2 years ago
 Rosé’s accent is so elegant. She speaks English with eloquence 🔥🤍
 22
 영크릿l Young Cret",1,a,SA,,
2,"Aiza
 2 years ago
 i need felix, chan, and rose speaking in their aussie accent together, TO EACHOTHER!!",1,a,NA,,
2,"K-Rap Psychic
 2 years ago (edited)
 Good on ya mate! Great editing too! Yeah, Aussies like to abbreviate everything. I use to kid my Aussie mates that they spoke Baby talk! Barbi, Brekkie, Lollies ( candy, short for lollipop), Pokies ( their Poker slot machines, which are ubiquitous), Footie ( Aussie Rules Football) Macas (McDonalds), CabSav ( Cabernet Sauvignon) etc. Then there are OZ (Australia) only expressions, like Fair Dinkum ( genuinely, honestly real) and Bonza Sheila ( hot, attractive woman). If two Aussies really spoke full-on Aussie, you would have difficulty understanding them. Especially if they mixed in some indigenous Aboriginal words, like Billibong, Didgeridoo, etc. Keep up the good work! You might consider doing the opposite, teach Korean to westerners, too. Fighting! Ganbatte!",1,off-topic (METALINGUISTIC),,,
2,"Faiz Aprilian
 2 years ago (edited)
 Listen all of them speaking english is so satisfying in my ears..",1,a,G,,
2,"Shark eat candy
 2 years ago
 Amazingly, when Rosé singing some english song. You can hear Aussie accent too.",1,a,NA,,
2,"방예린
 2 years ago
 I especially love Felix’s accent and the way he speak with his deep voice is kinda give me chill sometimes . Btw, you just completed my wish to see them in one video haha 😂",1,a,G,,
2,"c hello
 2 years ago
 Rose is very professional and of course speaking English and Korean sounds different. Sometimes cute sometimes calm",1,a,SA,,
2,"Judith Gabito
 2 years ago
 I watched the video because of their accent but finished it with so much inspiration that I too can achieve my dreams if I work hard for it.",1,a,MOT (motivation),,
2,"sharmila khadka
 2 years ago
 Chaeyoung is the perfect definition of BLACKPINK
 Cute and sexy at a same time
 68
 영크릿l Young Cret",1,off-topic,,,
2,"로제 영어는 어떨땐 너무 귀엽고 또 고급지고 막 그냥 다해먹는것 같음... 사랑해 박채영

T: Rosé's English is so cute and luxurious... I love you, Park Chaeyoung",2,Off-topic,,,
2,"Sybil Willow
 2 years ago
 Rosé in korean is Chaeyoung 
 Rosé in English is Rosie & Roseanne
 Rosé on stage is Rosé 🌹",1,off-topic,,,
2,"Glory Eve
 2 years ago
 Our baby Rosé is just beautiful, cute & professional on the same time. Not to mention about her voice, so unique that is only one in the whole world 😆
 94
 영크릿l Young Cret",1,off-topic,,,
2,"K-POP Poubelle
 2 years ago
 I just want Felix, Chan and Rosé in a show togetha talking english with their aussie accent.",1,a,NA,,
2,"CHUNGHA'S HUBBY
 2 years ago
 chaeyoung's aussie accent is not too thick and also not to light it's just PERFECT !",1,a,NA,,
2,"Leonha Michaella B. Rosatase
 2 years ago
 I could listen to Chaeyoungie speaking all day without getting bored. That's how sexy she sounds",1,off-topic,,,
2,"bah
 2 years ago
 Rosé can be cute and sexy and everything in the middle, I love her so much.",1,off-topic,,,
2,"bah
 2 years ago
 Rosé can be cute and sexy and everything in the middle, I love her so much.",1,off-topic,,,
2,"C⃟r⃟z⃟z⃟y⃟ A⃟u⃟t⃟h⃟u⃟m⃟ 🍁
 2 years ago
 This is so true. We tend to look down on our self because of a simple mistakes when we could pull them up together with passion. I, myself, is struggling to pronounces words correctly because of how twisted my tongue was, (even until now) but seeing the others—I looked up to—worked hard as much as I do, motivates me. Whether it was english or korean, believing to yourself can lead you to a better places. Thank you op. This helps me alot. 🥰",1,a,MOT,,
2,"Honey Lee
 Honey Lee
 2 years ago
 Rosé voic in singing is so beautiful and her speaking in English is just so mesmerizing 🔥🔥🔥😍😍",1,a,G,,
2,"YAL
 2 years ago
 Their aussie accent is on point😍😍😍",1,a,NA,,
3,"Rosé does not only have the amazing aussie accent but her choices of words is really wise and elegant, very eloquent speaker.",1,a,NA+SP,,
3,"Rose's voice is very soothing and smooth (coming from an Australian, I don't really understand why people love our accent because to us it sounds not that unique haha). It's also interesting to see Rose's accent sometimes switches to a more American pronunciation eg) rolling r sound in some words over time. Maybe from being with Jennie for so long with her half kiwi half American accent",1,a,PF,,
3,I love how Jennie's voice change especially when she's speaking Japanese it's so cute,1,Off-topic,,,
3,i love how rosé voice is different when speaking in english and korean like. Her voice tone went deep when speaking english. But when it comes to korean her voice tone change into like cutie sound.,1,a,G,,
3,I can listen to Rosé talk all day and she doesn't even have to make sense. I don't care. She just sounds so melodic and soothing,1,Off-topic,,,
3,"English is my second language and I really enjoy listening to Rosé voice and accent. It’s so mesmerizing, interesting and inspiring",1,a,MOT,,
3,Hearing their 2 different accents in an interview is poetry to my ears. Rosé sounds elegant when she speaks. Jennie sounds sweet because she speaks in a bit slow yet constant pace and has a mild tone.,1,a,SA+PF,,
3,"I am very impressed with Rosé, and not because of her accent or how fluent she is or how she pronounces the words. I am impressed because of what comes out of her mouth. They are not only instantaneous responses, but very intelligent as well. She doesn’t just open her mouth to speak, they are all carefully selected and well thought, and she does it in split second.",1,a,SP,,
3,"More than the accent itself, Rosé's better in terms of English. She speaks intelligently and is pretty confident while doing so. If you also have observed, whether in Korean or English, she's always Blackpink's speaker especially during award shows. She's articulate, speaks smartly, and a natural in when it involves speaking.",1,a,SA+SP,,
3,"Geographically my country is really close to Australia, hence I get exposed to aussie accent pretty often. But usually I don't really like their accent heheh but when it comes to rosé I find it really classy and wanting to hear her speaking english all day",1,a,SA,,
3,"Jennie's english is so soothing to hear. The words are so clear, like we don't need subtitles to understand her.",1,a,COM (Comprehensibility) ,,
3,Rosé accent tho. So elegant. Her voice gets deeper when she speaks english.,1,a,G,,
3,Rosé talks like a queen. Very classy,1,Off-topic,,,
3,"Rosé and Jennie's accents are soooo nice to hear,wished I had an accent like there's ...anyways thanks to this channels video producer for this amazing fresh contents about blackpink ♡",1,a,G,,
3,I like both..Rosé sounds elegant while Jennie sounds soft and chic.,1,Off-topic,,,
3,i love the way Jennie pronounces her words its so soothing to listen to,1,a,G,,
3,"I  love listening to Rosé because she is really articulate, eloquent, smart and full of confidence.",1,a,SP,,
3,rosé's effortlessly knows what to say and how to say it<3 and her aussie accent is truly heaven,1,a,G,,
3,"로제는 영어할 때 성숙한느낌이되는 것 같아요 반전매력

T: I think she's mature when she speaks English. Unexpected charms",2,a,a,,
3,Jennie sounds so adorable when she speaks. I think her accent adds up to her overflowing charisma.,1,a,SA,,
3,"Rosé has aussie accent Jennie has that new zealander accent or what ever you call it Lisa has American accent Jisoo has Korean accent  But it's incredible how they can rap in english it's hard to rap in other languages apart from your own language  I can only do Filipino, english and korean and i bet you it's hard needs some practice",1,a,NA+PRO,,
3,i like rosé’s accent but sometimes jennie’s accent is good to hear,1,a,G,,
3,"I'm in love with Jennie's accent. Rosie's accent is not bad at all, I like it too, but I prefer Jennie's one. ONE of the many reasons is because I think Jennie pronounces every single word fluently, perfectly, effortlessly with a perfect accent that makes the people enjoying her english while Rosie will not pronounce some syllables because of her Aussie accent.",1,a,COM,,
3,I'm really obsessed with Jennie's english speaking. She is very charismatic and cute,1,a,SA,,
3,Love both of them.. the way they talk is lovely!!,1,Off-topic,,,
3,"I really love Jennie's accent more , she sounds different everytime she talk to different kinds of people. It's cool and unique, she's so brilliant.",1,a,SA,,
3,"For someone who was born and raised in Korea, Jenny's English is amazing. I understand she went abroad for a few years but it is still very impressive. Rose's English is excellent but it should be, she spent the first 15 years of her life in an English speaking country so she gets no praise from me.",1,a,G,,
3,Rosé’s accent is so elegant,1,a,G,,
3,"In the beginning of Blackpink debut jennie hs quite strong kiwi accent however as time goes by it seem like she influenced by lot of accent? anw I love jennie, her English is just perfect, she's cute when she speak japanese and chinese too. Not only she's multilingual queen she's amazing rapper, good singer, capable dancer, composer and also designer",1,a,NA+SA,,
3,"Out of most kpop groups, I've watched BLACKPINK members seem to have the most perfect English in their songs. I love Rose's english the most because it sounds so elegant but sexy too. But this Chanel ad of Jennie speaking random words is so soothing to listen to. https://www.youtube.com/watch?v=WWNYqWgfJqk What do you think of Lisa's Korean and English? Since she raps in both in a lot of their songs. I seen a lot of K-hip hop rappers compliment her this comeback especially so I'm curious.",1,a,SA,,
3,Jennie's english is so adorable actually just her voice in general <3 제니는 영어뿐만 아니라 한국어할때도 넘 귀여워요 +_+,1,a,G,,
3,"I like how Rosé speaks English with her accent but if you want to learn english, it will be definitely Jennie because actually i speak the standard English and a lot of times i can’t understand Rosé and her really strong aussie accent. With Jennie it’s not the same i understand every words",1,a,COM+MOT,,
3,You should try analyzing Sadie Sink from Stranger Things. She has good diction and she sounds elegant everytime she speaks. I think she even got an award (or recognition) for her narrating skills.   This was a good video by the way!,1,Off-topic,,,
3,"Jennies english is pretty impressive, because she was only in New Zealand for 5 years. And she literally grew up in S.Korea..and her english is incredible.",1,a,G,,
3,Jennie’s voice is very chic and classy,1,Off-topic,,,
3,I love how Rosé speaks English,1,a,G,,
3,"Id pick Jennies accent. Its clear as crystal. Although Rosies accent is nice to the ear, sometimes I dont understand some words she say. Like my first time hearing kill this love, it was Rosies part ""we all commit to love...."" where ""love"" sounded (to me) as ""lord"" damn I laughed so hard.",1,a,COM,,
3,"오픽 공부 미루고있다가 이영상보고 바로 시작했어요 ㅋㅋㅋㅋㅋ 영어 뽐뿌 오게하는 영상ㅠㅠ (특히 로제발음 넘 제취향ㅠㅠ)제니로제 영상2탄도 만들어주세요오 아 크리스탈 발음도 정말 좋아하는데 궁금해요!!

T: I was postponing studying OPIC, but I started right after watching this video lol. (Especially, my taste is Rosé's pronunciation.) Please make the second video of Jennie, too. Oh, I really like Crystal pronunciation, so I'm curious!!",2,a,c,,
3,Damn.Rosé's accent is to die for i really love it,1,a,G,,
3,"로제 영어로 말할 때 목소리 왜케 스윗하냐

T: Rosé, why is your voice so sweet when you speak English",2,a,a,,
3,"로제 제니 둘다 한국말할땐 약간 어눌해가지고 귀엽고 약간 목소리 높다가 영어하면 살짝 목소리 낮고 차분해지면서 언니미 뿜뿜하는게 매력오짐 ㅠㅠㅠㅠ

T: Rosé and Jenny are both a little awkward when they speak Korean, so they are cute and have a high voice, but when they speak English, their voices are a little low and calm, and they show off their adult-woman beauty",2,a,"a
e",,
3,For me i really like jennie's accent cuz i feel that it's so cute and cool for the same time and i really like New Zealand accent,1,a,SA+NA,,
3,I Love Jennie's accent and her voice. I can listen to her all day..,1,a,G,,
3,rosie's accent is what i live for.,1,a,G,,
3,Rosé accent is reallyyyyyy addictive i can listen to her whole day without getting bored. ️,1,a,G,,
3,"로제 한국말 할때는 귀엽다가 영어로 말할때는 너무 멋있고..

T: Rosé is cute when she speaks Korean, but she is so cool when she speaks English..",2,a,a,,
3,We all know that among the 4 of them. Rosé hast the most amazing accent. Everyone can fall to this trap,1,a,G,,
3,Jennie is so adorable when she speaks English and Japanese,1,a,SA,,
3,"I love both accents, they are like honey and butter",1,a,G,,
3,"I like rose better because when she speaks she definitely know what to say, she really gives off relevant points when she speaks, plus her voice is very soothing.",1,a,SP,,
3,There's an instances that they can change their accent whether american accent or new zealand or aussie accent im impressed by jennie,1,b,,,
3,"i LOVE rosé’s accent when she speaks english. her voice sounds so soothing, sexy and elegant. it’s so pleasing to hear.",1,a,SA,,
3,I cant choose aaaa both of their accents are so satisfying to hear,1,a,G,,
3,Love Jennie’s accent the most,1,a,G,,
3,I love Jennie's accent the most ️,1,a,G,,
3,"와 로제 영어하는거 너무 발린다...개이뻐

T: Wow, Rosé is so good at English. She's so pretty",2,Off-topic,,,
3,"로제 목소리 발음이 되게 고급지네 뭔가

T: Rosé's voice, pronunciation sounds so sophisticated",2,a,a,,
3,"원래 쫀득하고 버터발음 좋아했는데 로제영어발음 너무 매력있어서 호주식 영어발음이 더 좋아짐

T: I used to like sticky and butter pronunciation, but Rosé's English pronunciation is so attractive that I like Australian English pronunciation more",2,a,"a
b",,
3,"로제 영어발음 너무 세련됐다

T: Rose's English pronunciation is so modern ",2,a,a,,
3,I like Rose accent because her accent is charming and a little bit sassy,1,a,SA,,
3,I really love rosé's accents.,1,a,G,,
3,"sometimes jennie's kiwi accent still pops up especially around her rookie days, but its really hard to maintain an accent when you lived in a different place",1,b,NA,,
3,"Jennie’s accent is so beautiful, I could listen to her for hours",1,a,G,,
3,Rosé is more like an elegant speaker,1,Off-topic,,,
3,"ACTUALLY, I LOVE ROSE`S ACCENT THE MOST AMONG ALL KOREAN IDOLS",1,a,G,,
3,"와 로제 영어 발음이랑 목소리 미드에 나오는 목소리쟈나,,,☆ 겁나 매력

T: Wow, Rosé's English pronunciation and voice are in American TV series... ☆ So attractive",2,a,"a
b",,
3,"호주발음 정말 쉣인데.. 로제가 쓰니까 매력있네;;

T: The Aussie pronunciation is really a shit.. It sounds attractive when Rosé is using it ;;",2,a,b,,
3,"봐도봐도 귀엽고 사랑스럽고 버터발음에 퐁당 빠졌어요 ~

T: It's cute and lovely. I fell in love with the butter pronunciation ",2,a,a,,
3,"i would choose JENNIE its because she gives me a elegant,classy,and a good attitude when she talked and also you can see that she's smart indeed. Anyway trivia if she's not a KPOP she would be lawyer or teacher she said that in an interview",1,Off-topic,,,
3,Jennie has lost some of her fluency in English I notice she makes a lot of grammatical errors. Her English is accented with Australian and Hangul. Rose speaks English very eloquently. Which makes sense since she’s spoken it all her life as a first language.,1,a+c,COM+NA,,
3,Jennie's accent.. her pronunciation is so clear like i don't need subtitles tho,1,a,COM,,
3,I  like Rosie accent her English so fluent and nice to hear,1,a,G,,
3,Rosé accent is so good to listen to. natural and not fake,1,a,G,,
3,"I really like Jennie's accent ,maybe bcz she's my bias",1,a,G,,
3,I love Rosé accent gosh,1,a,G,,
3,"와 뭐야 쨋든 둘 다 되게 고급진 건 사실이야

T: What is it anyway it's true that both are fancy ",2,Off-topic,,,
3,The way Jennie speaks is so attractive,1,Off-topic,,,
3,"Rosé has a different vibe when she speaks in her mother tounge language..her voice is sexc, alluring and im obssessed. :)",1,a,SA+NA,,
3,Personally I really like listening Rosé voice.,1,Off-topic,,,
3,Jennies accent is pretty good considering she learned english just for 5 years!,1,a,G,,
3,"로제 발음은 뭔가 투명하고 퓨어하고 영롱한 발음에 다이아몬드같은 밝고 소중한데 제니는 고풍스럽고 고급스럽고 궁에 살다 내려온 소녀같이 어두움 속에서 붉게 밫나는 영국발음임..

T: Rosé's pronunciation is transparent, pure, and brilliant, diamond-like bright and precious, but Jenny's antique, luxurious, and British pronunciation is red in the darkness like a girl who has lived in the palace..",2,a,"a
b",,
3,Rosé accent omggg ️️,1,a,G,,
3,"Im fallin love with rosé accent , good speaker",1,a,G,,
3,Their accent are so cute but I prefer Jennifers' because she created her own accent. I am more like Rose who uses different tone when speaking foreign languages.,1,a,PF,,
3,I LOVE ROSÉ'S ACCENT THE MOST,1,a,G,,
3,JENNIE's english is so damn adorable,1,a,G,,
3,I love Rosé’s sassy Australian accent. I just love her. She seems to be a very sweet girl. I hope you get to listen to BLACKPINK songs.,1,a,NA,,
3,Jennie is a good speacker but rosé is in another level her tone just OMG,1,Off-topic,,,
3,Jennie's accent is just so eargasm to hear in the ears,1,a,G,,
3,ROSÉ REALLY GOOD AT ALL LOL.  aussie accent is lit and rich,1,a,NA,,
3,I love there english however Rosè has a cute accent,1,a,G,,
3,I prefer jennie everything about her is attractive and one of a kind she doesn't have to try and she'll catch your attention her English is just pure asmr,1,a,SA,,
3,"미치겠다 ㅠㅠㅠ 블핑이들 영어 발음 진짜 찹쌀쫀쫀 ㅠㅠㅠ 너무 듣기 좋음 ㅠㅠㅠ ㅇ로제 완전 귀족 발음같어ㅠㅠ

T: I'm going crazy. BLACKPINK's English pronunciation is so sticky. It's so nice to hear. Rose sounds like an aristocratic pronunciation",2,a,a,,
3,JENNIE’s accent kills me like fr,1,a,G,,
3,"어어우ㅠㅠ 제니 로제 진짜 이 완벽한 사람들ㅜㅠ꙼̈ 너무 멋지잖아 로제 영어하는거 너무 간지난다

T: Oh, my. Jenny Rose. These are perfect people. ꙼̈ It's so cool. Rose is so cool to speak in English",2,a,a,,
3,"뭔가 둘 다 영어할때 확 더 매력적인 느낌 한국어할때는 좀 애기애기

T: When they speak English, they are more attractive. When they speak Korean, they are a bit baby ",2,a,a,,
3,"그냥 둘다 부럽다,,, 나두 영어 잘하구 싶다

T: I just envy both of them, I want to speak English well too",2,a,c,,
3,Jennie accent is another level,1,a,G,,
3,I love rosé accent,1,a,G,,
3,love Jennie’s accent more,1,a,G,,
3,Jennie's English sounds classy,1,a,SA,,
3,Jennie has cute korean accent!,1,a,SA+(non-)NA,,
3,I like rose speaking English.,1,a,G,,
3,OMG rosé really amazing when she speaks English her voice is so cute and sexy... i really fall in love with her voice,1,a,SA,,
3,Rosé aussie accent is everything,1,a,NA,,
3,I like Rose Australian accent,1,a,NA,,
3,"로제.. 한국말 할때는 귀욤귀욤한데 영어할땐 섹시하네,...ㄷㄷ

T: Rosé... She's cute when she speaks Korean, but she's sexy when she speaks English",2,a,a,,
3,Jenny is so lovely and luxurious,1,Off-topic,,,
3,Rosé has a really sexy accent and in korean she sounds sooo cuteeee,1,a,SA,,
3,their accents are great but i prefer Rosé's. it's so satisfying to listen and her voice is just soothing for my ears. i'd like to spend my day by having a deep talk with Rosie,1,a,G,,
3,Rosès accents is adorable,1,a,G,,
3,"난 영어 잘하는 사람이 참 존경스러워..

T: I respect people who are good at English..",2,Off-topic,,,
3,"진짜 비단같다... 너무 듣기 좋음ㅋㅋ

T: It's really like silk... It's so nice to listen to",2,Off-topic,,,
3,Can we talk about Jennie's deep voice,1,Off-topic,,,
3,Rosé's accent while speaking English sounds sexy,1,a,SA,,
3,I am living for jennie's accent,1,a,G,,
3,Jennie has a mixed accent  Sometimes she sounds Americana but she pronounces ’can’t’ like British? Idk it’s really really unique,1,a,G,,
3,I love Rose's accent. Love her voice she has a sexy voice,1,a,SA,,
3,obsessed with jennie’s english accent,1,a,G,,
3,"로제 영어할때 진짜 치인다 치여 ㅠㅠ

T: When Rosé speaks English, I feel like I am hit by her ",2,a,a,,
3,Jennies accent really calms me,1,a,G,,
3,Jennie accent just kill me,1,a,G,,
3,Only jennie kim her accent is especial,1,a,G,,
3,"Jennie is fluent in English, and I love her beautiful and sexy voice too, Jennie is the best",1,a,PRO+SA,,
3,"로제 발음 ㅈㄴ 치인다...

T: I was hit by Rose's pronunciation ",2,a,a,,
3,"제니 혀에 꿀발라놨네

T: JENNIE put honey on her tongue",2,Off-topic,,,
3,"이거 보다가는 내 발음에 현타와서 제데로 못해요..

T: If I watch this, I can't do it on my own because my pronunciation is so bad..",2,Off-topic,,,
3,Both of them are good.,1,Off-topic,,,
3,Rose Australian accent is better than Jennie,1,a,NA,,
3,Jennie make me obsession of her accent,1,a,G,,
3,Rosé's accent so sweaty,1,a,G,,
3,I pick JENNIE bc she has a rare accent .. i can feel she is speaking english so naturlly not like rose,1,a,G,,
3,"Rosé has been speaking English since she was a baby so her skill is effortless and her accent is truly soothing and pleasing to the ear. Jennie who learned it later on as a child is also highly skilled and has such a soft tone that sounds like honey. Ah I truly can’t choose, both accents are so different yet unique in an amazing way",1,a,SA+PF,,
3,"As someone currently studying and working in Australia, it's interesting that Rose's accent is considered sophiscated or elegant by non-Australians.  In Australia, Rose's accent would be considered quite common and is referred to as the general accent. There's three main types of accent, with variations in between the three: broad, general and cultivated. The different accents people have largely depends on which parts of Australia they live in. The general accent, which Rose has, is more widely found in Melbourne (where Rose is from), Canberra, Adelaide, Perth and Hobart. The broad accent, which is more nasally or hardcore bogan and considered less sophiscated, is more widely found in rural parts of Australia, as well as parts of Sydney and Queensland. Felix and Chan from Straykids, who are both from Sydney, speak with the broad accent.  The cultivated accent, which is considered more cultured/educated or elitist, is spoken by people like Cate Blanchett and Geoffrey Rush, both also from Melbourne. Fun fact: Hollywood actress Margot Robbie (who is from Queensland) said in an interview she had to modify her accent from broad to general when she first appeared as an actress on Australian tv so she could be better understood and be more accepted.",1,a,META+NA,,
3,"I love both but Rosé's way of speaking and her accent are just so appealing to me i'm not an english speaker myself, but i speak with an American accent cause it's the easiest,now i'm trynna learn the Australian accent and i gotta say it's hard lol thank you for the video btw",1,a,G,,
3,"Rosé is 100% a native English speaker considering she was born and raised and grew up in 2 English speaking countries. So while her accent might be harder to understand for some, Rosé’s vocabulary and fluidity in speaking is attributed to the fact that it’s her native tongue. Jennie’s very fluent for not being a native speaker. Spending time in NZ during her most formative years definitely helped her achieve that plus she’s able to practice with Rosé often. I like her ability to shift/tone down her accent depending on who she’s speaking with.",1,a,NA,,
3,Roses accent is very nice to hear and obviously since she grew up in Australia her English is way better than jennies. At the same time I love jennies accent cuz it’s so cute and you can see how as the main English speakers Jennie and rose look to each other for words to say in interviews  they’re adorable,1,a,NA+SA,,
3,Rosie not only sounds elegant but she's a good speaker. Rosie and NCT Mark knows how to speak well. Not everyone who speak English are good speakers. They're the type of people who'll represent their community.,1,a,SP,,
3,"Rosé was literally bought up aboard so yeah more points for her  But for someone like Jennie who live 5 years aboard she's so soft spoken and elegant , her tone automatically change when she speaks English  She's sounds very classy",1,a,SA+PF,,
3,I was surprised when Rosé speak in english. She got legitimate Aussie accent. That's amazing!,1,a,NA,,
3,"Jennie was living abroad for 5 years. Chaeng was born and raised abroad so ofc she would be more fluent in English. It’s her first language  Anw, both my babies are charming when they speak English. The best part is when they are in charge of speaking when it comes to English interviews. The way they rely on each other is just too cute and funny",1,a,NA+SA,,
3,Jennie has a very cute and classy accent which is why I perfer it but they are both queens ❤,1,a,SA,,
3,Rosé is a native english speaker but im still fascinated whenever she speaks english. I just melt whenever her voice become low,1,a,NA,,
3,"I'm Australian and I can say Rosie sounds 100% Australian but also her voice is really smooth and articulate so she sounds well spoken. Jennie is kind of interesting because it's a mix of American/New Zealand/Korean accents and she mixes up pronunciations for different words so it makes her sound like she's not a native speaker even though she speaks very well. Of course I like Rosie's voice the most, I hope she does some kind of podcast or radio show in the future",1,a+b,"NA
SP",,
3,"Exactly, Jennie's accent tends to be american accent. Rose's accent still heavy Aussie accent",1,b,NA,,
3,Ofcourse it's rosie cuase she was born in New Zealand and grow up in Australia so that's why her accent is so good ️ but of course jennie also Her accent is so good also and she is also fluent ️️,1,a,NA,,
3,I like jennie's kiwi accent tho she kinda losing it but there are times that her kiwi accent is strong.,1,a,NA,,
3,Jennie accent,1,off-topic,,,
3,Rosé's accent is,1,off-topic,,,
3,Jennie has the most neutral accent (unless she does her NZ accent) among all four... neither too 'black' not too 'white' nor too 'asian' be it singing or speaking,1,b,NA,,
3,Rosé’s accent reminds me of my Aussie friend‘s grandmother. Still cute tho,1,a,NA,,
3,I feel like Jennie's accent change everytime. Like when she's in America she speaks like an American but normally she sounds british or kiwi. Which is a wise of her,1,a,NA,,
